id_transaccion,id_usuario,timestamp_unix,monto,categoria
TX_50001,USR_1119,1765137389,$720.27,
TX_50002,USR_1094,1769387131,$395.44,Hogar
TX_50003,USR_1028,1711916694,"$1,452.16",Salud
TX_50004,USR_1008,1746158525,$152.34,Salud
TX_50005,USR_1062,1771558635,"$2,299.27",Salud
TX_50006,USR_1021,1711701447,"$2,402.34",Electrónica
TX_50007,USR_1109,1729008204,$180.62,Electrónica
TX_50008,USR_1087,1735635732,"  $1,015.40  ",Salud
TX_50009,USR_1032,1709401235,"$1,552.26",Libros
TX_50010,USR_1085,1774233908,$797.76,Hogar
TX_50011,USR_1027,1746236244,$604.33,Libros
TX_50012,USR_1017,1744332126,"$1,148.49",Electrónica
TX_50013,USR_1002,1765577241,"$1,556.69",Salud
TX_50014,USR_1013,1713900087,"$1,348.71",Salud
TX_50015,USR_1034,1721845219,"$2,333.82",Electrónica
TX_50016,USR_1113,1736854499,  $930.12  ,Ropa
TX_50017,USR_1057,1776976680,"$1,761.81",Salud
TX_50018,USR_1104,1775060418,$29.48,Salud
TX_50019,USR_1039,1717970344,"$2,347.94",Ropa
TX_50020,USR_1034,1719559773,"$2,225.38",
TX_50021,USR_1071,1724931065,$688.15,Salud
TX_50022,USR_1027,1750087813,$516.96,
TX_50023,USR_1110,1739498519,"$1,268.47",Hogar
TX_50024,USR_1116,1710885312,  $239.82  ,Libros
TX_50025,USR_9999,1741202591,$119.78,Hogar
TX_50026,USR_1099,1721625517,"$1,596.41",Hogar
TX_50027,USR_1021,1763369358,"$1,383.68",Libros
TX_50028,USR_1072,1705365045,$288.57,
TX_50029,USR_1116,1724072927,"$1,368.52",Hogar
TX_50030,USR_1075,1723944011,"$1,080.17",Electrónica
TX_50031,USR_1040,1753009897,"$2,248.46",Electrónica
TX_50032,USR_1116,1752091542,  $533.09  ,Ropa
TX_50033,USR_1086,1717863926,$890.66,Salud
TX_50034,USR_1114,1758610249,"$2,434.85",
TX_50035,USR_1020,1735841546,"$2,162.87",Ropa
TX_50036,USR_1113,1759404419,$71.72,
TX_50037,USR_1119,1748652378,"$1,958.14",Libros
TX_50038,USR_1103,1737375643,$674.35,
TX_50039,USR_1014,1755411080,"$2,181.70",Libros
TX_50040,USR_1029,1730853411,"  $2,043.30  ",Libros
TX_50041,USR_1045,1745029224,"$2,053.14",Ropa
TX_50042,USR_1029,1707243386,"$1,653.48",Libros
TX_50043,USR_1043,1741460669,"$2,162.24",Hogar
TX_50044,USR_1045,1772438472,"$1,005.20",Salud
TX_50045,USR_1043,1707771681,$297.20,Hogar
TX_50046,USR_1023,1739697492,$105.26,Salud
TX_50047,USR_1056,1750464538,"$1,824.08",Hogar
TX_50048,USR_1056,1772709241,  $297.96  ,Salud
TX_50049,USR_1025,1738255476,$120.52,Libros
TX_50050,USR_9999,1704294199,"$1,304.60",Salud
TX_50051,USR_1088,1730512807,$916.91,Electrónica
TX_50052,USR_1086,1748385898,"$1,561.66",
TX_50053,USR_1109,1720794126,"$1,802.19",Hogar
TX_50054,USR_1065,1745578684,"$1,670.56",Hogar
TX_50055,USR_1052,1743749369,"$1,390.49",Ropa
TX_50056,USR_1054,1754955217,"  $1,696.52  ",Ropa
TX_50057,USR_1079,1744460008,"$1,021.13",Electrónica
TX_50058,USR_1039,1742576107,$533.35,Salud
TX_50059,USR_1078,1747318759,"$1,167.82",Libros
